"Description","Code","Brand","Retail Bottle Price","Discount Per Bottle","Sale Bottle Price","Price per Liter"
"RUM (DOMESTIC)","044456","Cruzan Raspberry 750ml","13.95","1.00","12.95","17.27"
"RUM (DOMESTIC)","044557","Cruzan Strawberry 750ml","13.95","1.00","12.95","17.27"
"RUM (DOMESTIC)","044520","Cruzan Vanilla 750ml","13.95","1.00","12.95","17.27"
"RUM (DOMESTIC)","042461","George Bowman 750ml","29.95","5.00","24.95","33.27"
"RUM (DOMESTIC)","044658","Lady Bligh Spiced Rum 1.75L","21.90","3.95","17.95","10.26"
"RUM (DOMESTIC)","043788","Ronrico Gold 1.75L","19.95","2.00","17.95","10.26"
"RUM (DOMESTIC)","042437","Shellback Silver Rum 750ml","14.95","2.00","12.95","17.27"
"RUM (IMPORTED)","044266","British Navy Pusser's Rum 750ml","25.95","3.00","22.95","30.60"
"RUM (IMPORTED)","044436","Cruzan Banana 750ml","13.95","1.00","12.95","17.27"
"RUM (IMPORTED)","044442","Cruzan Black Strap Rum 750ml","18.90","2.00","16.90","22.53"
"RUM (IMPORTED)","044468","Cruzan Citrus Rum 750ml","13.95","1.00","12.95","17.27"
"RUM (IMPORTED)","044476","Cruzan Coconut 750ml","13.95","1.00","12.95","17.27"
"RUM (IMPORTED)","044506","Cruzan Pineapple 750ml","13.95","1.00","12.95","17.27"
"RUM (IMPORTED)","042646","Flor De Cana Gold 4 Yr 750ml","14.95","1.00","13.95","18.60"
"RUM (IMPORTED)","042568","Gosling's Black Seal 1.75L","34.95","2.00","32.95","18.83"
"RUM (IMPORTED)","067574","Kahlua Pumpkin Spice 750ml","18.90","3.00","15.90","21.20"
"RUM (IMPORTED)","042687","Malibu Black 750ml","19.95","2.00","17.95","23.93"
"RUM (IMPORTED)","042312","Malibu Red 750ml","21.90","1.95","19.95","26.60"
"RUM (IMPORTED)","042796","Rhum Barbancourt 5 Star Reserve Speciale 750ml","23.95","2.00","21.95","29.27"
"SCOTCH WHISKY","006798","Bowman's Scotch 1.75L","21.90","2.00","19.90","11.37"
"SCOTCH WHISKY","004636","Bowmore Single Malt 12 yr 750ml","46.95","3.00","43.95","58.60"
"SCOTCH WHISKY","004656","Bunnahabhain 12yr Single Malt 750ml","59.95","3.00","56.95","75.93"
"SCOTCH WHISKY","064888","Dewar's Highlander Honey 750ml","27.90","1.95","25.95","34.60"
"SCOTCH WHISKY","007448","Duggan's Dew O'Kirkintilloch 1.75L","28.95","2.00","26.95","15.40"
"SCOTCH WHISKY","005061","Glenlivet French Oak Reserve 15 Yr Old 750ml","59.95","5.05","54.90","73.20"
"SCOTCH WHISKY","007790","Grand MacNish 1.75L","21.90","2.00","19.90","11.37"
"SCOTCH WHISKY","008378","J.W. Dant's 1.75L","20.95","2.00","18.95","10.83"
"SCOTCH WHISKY","005326","Johnnie Walker Black 750ml","40.45","2.05","38.40","51.20"
"SCOTCH WHISKY","005336","Johnnie Walker Blue 750ml","229.95","30.00","199.95","266.60"
"SCOTCH WHISKY","005433","Laphroaig Quarter Cask 750ml","59.95","3.00","56.95","75.93"
"SCOTCH WHISKY","005443","Laphroaig Triplewood 750ml","74.90","5.00","69.90","93.20"
"SCOTCH WHISKY","005598","McClelland's Highland 1.75L","43.90","3.95","39.95","22.83"
"SCOTCH WHISKY","006106","Speyburn Single Malt 750ml","27.90","3.00","24.90","33.20"
"SCOTCH WHISKY","006238","Teacher's 1.75L","39.90","2.95","36.95","21.11"
"SCOTCH WHISKY","005038","The Glenlivet Single Malt 1.75L","89.95","5.05","84.90","48.51"
"SCOTCH WHISKY","005492","The Macallan Fine Oak 10yr 750ml","52.90","3.00","49.90","66.53"
"SCOTCH WHISKY","006316","Tomatin Scotch 12 Yr 750ml","35.95","3.00","32.95","43.93"
"SPECIALTY BOTTLES   (DOMESTIC)","000376","Four Roses Single Barrel With Glasses 750ml","39.90","3.00","36.90","49.20"
"SPECIALTY BOTTLES   (DOMESTIC)","000818","Red Stag With 3 50mls 750ml","18.90","2.00","16.90","22.53"
"SPECIALTY BOTTLES   (DOMESTIC)","000846","Speyburn 10 750ml Gift Set 750ml","27.90","3.00","24.90","33.20"
"SPECIALTY BOTTLES   (DOMESTIC)","002490","Tarantula Azula Gift Pack 750ml","19.95","2.00","17.95","23.93"
"SPECIALTY BOTTLES   (DOMESTIC)","003396","Tequila Rose W/2 Glasses 750ml","19.95","2.00","17.95","23.93"
"SPECIALTY BOTTLES (IMPORTED)","002959","Absente Artist's Series Glass & Spoon Pack 750ml","42.90","2.95","39.95","53.27"
"SPECIALTY BOTTLES (IMPORTED)","003992","Cointreau Liqueur W/ Fever Tree 750ml","39.90","3.00","36.90","49.20"
"SPECIALTY BOTTLES (IMPORTED)","001989","Courvoisier VS With Flask 750ml","31.95","2.00","29.95","39.93"
"SPECIALTY BOTTLES (IMPORTED)","001643","Hennessy VS Gift 750ml","34.90","2.00","32.90","43.87"
"SPECIALTY BOTTLES (IMPORTED)","003403","Hennessy VS VAP W/HY Black 50ml 750ml","34.90","2.00","32.90","43.87"
"SPECIALTY BOTTLES (IMPORTED)","003355","Hpnotiq Gift Set 750ml","22.95","3.00","19.95","26.60"
"SPECIALTY BOTTLES (IMPORTED)","002789","Kamora w/Coffee Mug 750ml","11.95","1.00","10.95","14.60"
"SPECIALTY BOTTLES (IMPORTED)","003950","Kilbeggan With Flask 750ml","27.90","3.00","24.90","33.20"
"SPECIALTY BOTTLES (IMPORTED)","003641","Lunazul Reposado W/Shot Glasses 750ml","18.90","1.95","16.95","22.60"
"SPECIALTY BOTTLES (IMPORTED)","003239","Pallini Limoncello W-Deruta Cups 750ml","25.95","2.00","23.95","31.93"
"SPECIALTY BOTTLES (IMPORTED)","001958","Rhum Barbancourt Five Star Reserve Special Glass 750ml","23.95","2.00","21.95","29.27"
"TEQUILA","089139","Cabo Wabo Reposado 750ml","39.90","2.95","36.95","49.27"
"TEQUILA","089533","Camarena Reposado Tequila 750ml","19.95","2.00","17.95","23.93"
"TEQUILA","087643","Camarena Silver Tequila 750ml","19.95","2.00","17.95","23.93"
"TEQUILA","087398","Cruz Del Sol Silver 750ml","49.95","2.00","47.95","63.93"
